ID_COMUNE,DATA_TYPE,RESULTS,TIME_PERIOD,OBS_VALUE,CODICE PROVINCIA,COMUNE,RESIDENTI,SUPERFICIE (KMQ)
1001,morti_e_feriti,feriti,2020,4,201,Agliè,2545,13.1462
1001,morti_e_feriti,feriti,2021,2,201,Agliè,2545,13.1462
1001,morti_e_feriti,feriti,2022,5,201,Agliè,2545,13.1462
1001,morti_e_feriti,feriti,2023,6,201,Agliè,2545,13.1462
1001,morti_e_feriti,feriti,2024,5,201,Agliè,2545,13.1462
1001,morti_e_feriti,morti,2020,0,201,Agliè,2545,13.1462
1001,morti_e_feriti,morti,2021,0,201,Agliè,2545,13.1462
1001,morti_e_feriti,morti,2022,0,201,Agliè,2545,13.1462
1001,morti_e_feriti,morti,2023,1,201,Agliè,2545,13.1462
1001,morti_e_feriti,morti,2024,0,201,Agliè,2545,13.1462
1001,incidenti_stradali,incidenti,2020,4,201,Agliè,2545,13.1462
1001,incidenti_stradali,incidenti,2021,2,201,Agliè,2545,13.1462
1001,incidenti_stradali,incidenti,2022,3,201,Agliè,2545,13.1462
1001,incidenti_stradali,incidenti,2023,3,201,Agliè,2545,13.1462
1001,incidenti_stradali,incidenti,2024,2,201,Agliè,2545,13.1462
1002,morti_e_feriti,feriti,2020,14,201,Airasca,3633,15.7393
1002,morti_e_feriti,feriti,2021,9,201,Airasca,3633,15.7393
1002,morti_e_feriti,feriti,2022,5,201,Airasca,3633,15.7393
1002,morti_e_feriti,feriti,2023,10,201,Airasca,3633,15.7393
1002,morti_e_feriti,feriti,2024,9,201,Airasca,3633,15.7393
1002,morti_e_feriti,morti,2020,0,201,Airasca,3633,15.7393
1002,morti_e_feriti,morti,2021,0,201,Airasca,3633,15.7393
1002,morti_e_feriti,morti,2022,0,201,Airasca,3633,15.7393
1002,morti_e_feriti,morti,2023,1,201,Airasca,3633,15.7393
1002,morti_e_feriti,morti,2024,0,201,Airasca,3633,15.7393
1002,incidenti_stradali,incidenti,2020,8,201,Airasca,3633,15.7393
1002,incidenti_stradali,incidenti,2021,6,201,Airasca,3633,15.7393
1002,incidenti_stradali,incidenti,2022,4,201,Airasca,3633,15.7393
1002,incidenti_stradali,incidenti,2023,7,201,Airasca,3633,15.7393
