ID_COMUNE,DATA_TYPE,RESULTS,TIME_PERIOD,OBS_VALUE,CODICE PROVINCIA,COMUNE,RESIDENTI,SUPERFICIE (KMQ),INCIDENTI_PRO_CAPITE(1000),DENSITA_INCIDENTI,DENSITA_POPOLAZIONE
1001,incidenti_stradali,incidenti,2020,4,201,Agliè,2545,13.1462,1.5717092337917484,0.3042704355631285,193.59206462704051
1001,incidenti_stradali,incidenti,2021,2,201,Agliè,2545,13.1462,0.7858546168958742,0.15213521778156425,193.59206462704051
1001,incidenti_stradali,incidenti,2022,3,201,Agliè,2545,13.1462,1.1787819253438114,0.22820282667234637,193.59206462704051
1001,incidenti_stradali,incidenti,2023,3,201,Agliè,2545,13.1462,1.1787819253438114,0.22820282667234637,193.59206462704051
1001,incidenti_stradali,incidenti,2024,2,201,Agliè,2545,13.1462,0.7858546168958742,0.15213521778156425,193.59206462704051
1002,incidenti_stradali,incidenti,2020,8,201,Airasca,3633,15.7393,2.202036884117809,0.5082818168533544,230.82348007852954
1002,incidenti_stradali,incidenti,2021,6,201,Airasca,3633,15.7393,1.6515276630883566,0.38121136264001576,230.82348007852954
1002,incidenti_stradali,incidenti,2022,4,201,Airasca,3633,15.7393,1.1010184420589044,0.2541409084266772,230.82348007852954
1002,incidenti_stradali,incidenti,2023,7,201,Airasca,3633,15.7393,1.9267822736030829,0.4447465897466851,230.82348007852954
1002,incidenti_stradali,incidenti,2024,5,201,Airasca,3633,15.7393,1.3762730525736306,0.31767613553334645,230.82348007852954
1003,incidenti_stradali,incidenti,2020,0,201,Ala di Stura,459,46.3315,0.0,0.0,9.906866818471235
1003,incidenti_stradali,incidenti,2021,0,201,Ala di Stura,459,46.3315,0.0,0.0,9.906866818471235
1003,incidenti_stradali,incidenti,2022,0,201,Ala di Stura,459,46.3315,0.0,0.0,9.906866818471235
1003,incidenti_stradali,incidenti,2023,1,201,Ala di Stura,459,46.3315,2.1786492374727673,0.02158358783980661,9.906866818471235
1003,incidenti_stradali,incidenti,2024,1,201,Ala di Stura,459,46.3315,2.1786492374727673,0.02158358783980661,9.906866818471235
1004,incidenti_stradali,incidenti,2020,3,201,Albiano d'Ivrea,1638,11.7314,1.8315018315018314,0.2557239545152326,139.625279165317
1004,incidenti_stradali,incidenti,2021,2,201,Albiano d'Ivrea,1638,11.7314,1.221001221001221,0.1704826363434884,139.625279165317
1004,incidenti_stradali,incidenti,2022,4,201,Albiano d'Ivrea,1638,11.7314,2.442002442002442,0.3409652726869768,139.625279165317
1004,incidenti_stradali,incidenti,2023,2,201,Albiano d'Ivrea,1638,11.7314,1.221001221001221,0.1704826363434884,139.625279165317
1004,incidenti_stradali,incidenti,2024,4,201,Albiano d'Ivrea,1638,11.7314,2.442002442002442,0.3409652726869768,139.625279165317
1006,incidenti_stradali,incidenti,2020,6,201,Almese,6355,17.8756,0.9441384736428009,0.33565306898789415,355.51254223634453
1006,incidenti_stradali,incidenti,2021,3,201,Almese,6355,17.8756,0.47206923682140045,0.16782653449394708,355.51254223634453
1006,incidenti_stradali,incidenti,2022,8,201,Almese,6355,17.8756,1.2588512981904012,0.4475374253171922,355.51254223634453
1006,incidenti_stradali,incidenti,2023,2,201,Almese,6355,17.8756,0.3147128245476003,0.11188435632929805,355.51254223634453
1006,incidenti_stradali,incidenti,2024,2,201,Almese,6355,17.8756,0.3147128245476003,0.11188435632929805,355.51254223634453
1007,incidenti_stradali,incidenti,2020,1,201,Alpette,235,5.6261,4.25531914893617,0.17774301914292315,41.769609498586945
1007,incidenti_stradali,incidenti,2021,0,201,Alpette,235,5.6261,0.0,0.0,41.769609498586945
1007,incidenti_stradali,incidenti,2022,0,201,Alpette,235,5.6261,0.0,0.0,41.769609498586945
1007,incidenti_stradali,incidenti,2023,1,201,Alpette,235,5.6261,4.25531914893617,0.17774301914292315,41.769609498586945
1008,incidenti_stradali,incidenti,2020,18,201,Alpignano,16484,11.9193,1.0919679689395778,1.5101557977398001,1382.9671205523814
1008,incidenti_stradali,incidenti,2021,30,201,Alpignano,16484,11.9193,1.8199466148992962,2.5169263295663336,1382.9671205523814
1008,incidenti_stradali,incidenti,2022,23,201,Alpignano,16484,11.9193,1.395292404756127,1.9296435193341892,1382.9671205523814
1008,incidenti_stradali,incidenti,2023,27,201,Alpignano,16484,11.9193,1.6379519534093667,2.2652336966097004,1382.9671205523814
1008,incidenti_stradali,incidenti,2024,20,201,Alpignano,16484,11.9193,1.2132977432661975,1.6779508863775559,1382.9671205523814
1009,incidenti_stradali,incidenti,2020,1,201,Andezeno,2013,7.486,0.49677098857426727,0.1335826876836762,268.9019503072402
1009,incidenti_stradali,incidenti,2021,2,201,Andezeno,2013,7.486,0.9935419771485345,0.2671653753673524,268.9019503072402
1009,incidenti_stradali,incidenti,2022,2,201,Andezeno,2013,7.486,0.9935419771485345,0.2671653753673524,268.9019503072402
1009,incidenti_stradali,incidenti,2023,2,201,Andezeno,2013,7.486,0.9935419771485345,0.2671653753673524,268.9019503072402
1009,incidenti_stradali,incidenti,2024,2,201,Andezeno,2013,7.486,0.9935419771485345,0.2671653753673524,268.9019503072402
1010,incidenti_stradali,incidenti,2020,0,201,Andrate,488,9.3085,0.0,0.0,52.42520277166031
1010,incidenti_stradali,incidenti,2021,0,201,Andrate,488,9.3085,0.0,0.0,52.42520277166031
1010,incidenti_stradali,incidenti,2022,0,201,Andrate,488,9.3085,0.0,0.0,52.42520277166031
1010,incidenti_stradali,incidenti,2023,0,201,Andrate,488,9.3085,0.0,0.0,52.42520277166031
1010,incidenti_stradali,incidenti,2024,1,201,Andrate,488,9.3085,2.0491803278688527,0.10742869420422194,52.42520277166031
1011,incidenti_stradali,incidenti,2020,0,201,Angrogna,838,38.8782,0.0,0.0,21.554495835712558
1011,incidenti_stradali,incidenti,2021,0,201,Angrogna,838,38.8782,0.0,0.0,21.554495835712558
1011,incidenti_stradali,incidenti,2022,0,201,Angrogna,838,38.8782,0.0,0.0,21.554495835712558
1011,incidenti_stradali,incidenti,2023,0,201,Angrogna,838,38.8782,0.0,0.0,21.554495835712558
1012,incidenti_stradali,incidenti,2020,0,201,Arignano,1080,8.1668,0.0,0.0,132.24273889405887
1012,incidenti_stradali,incidenti,2021,1,201,Arignano,1080,8.1668,0.9259259259259259,0.12244698045746191,132.24273889405887
1012,incidenti_stradali,incidenti,2022,3,201,Arignano,1080,8.1668,2.7777777777777777,0.36734094137238577,132.24273889405887
1012,incidenti_stradali,incidenti,2023,1,201,Arignano,1080,8.1668,0.9259259259259259,0.12244698045746191,132.24273889405887
1012,incidenti_stradali,incidenti,2024,1,201,Arignano,1080,8.1668,0.9259259259259259,0.12244698045746191,132.24273889405887
1013,incidenti_stradali,incidenti,2020,25,201,Avigliana,12351,23.2172,2.024127601003967,1.0767878986268802,531.9762934376239
1013,incidenti_stradali,incidenti,2021,20,201,Avigliana,12351,23.2172,1.6193020808031737,0.8614303189015041,531.9762934376239
1013,incidenti_stradali,incidenti,2022,39,201,Avigliana,12351,23.2172,3.1576390575661892,1.679789121857933,531.9762934376239
1013,incidenti_stradali,incidenti,2023,40,201,Avigliana,12351,23.2172,3.2386041616063475,1.7228606378030082,531.9762934376239
1013,incidenti_stradali,incidenti,2024,34,201,Avigliana,12351,23.2172,2.7528135373653955,1.464431542132557,531.9762934376239
1014,incidenti_stradali,incidenti,2020,0,201,Azeglio,1235,9.9605,0.0,0.0,123.98975955022338
1014,incidenti_stradali,incidenti,2021,0,201,Azeglio,1235,9.9605,0.0,0.0,123.98975955022338
1014,incidenti_stradali,incidenti,2022,1,201,Azeglio,1235,9.9605,0.8097165991902834,0.10039656643742784,123.98975955022338
1014,incidenti_stradali,incidenti,2023,0,201,Azeglio,1235,9.9605,0.0,0.0,123.98975955022338
1014,incidenti_stradali,incidenti,2024,2,201,Azeglio,1235,9.9605,1.6194331983805668,0.20079313287485567,123.98975955022338
1015,incidenti_stradali,incidenti,2020,2,201,Bairo,787,7.0859,2.5412960609911055,0.28225066681720035,111.06563739256835
1015,incidenti_stradali,incidenti,2021,2,201,Bairo,787,7.0859,2.5412960609911055,0.28225066681720035,111.06563739256835
1015,incidenti_stradali,incidenti,2022,2,201,Bairo,787,7.0859,2.5412960609911055,0.28225066681720035,111.06563739256835
1015,incidenti_stradali,incidenti,2023,2,201,Bairo,787,7.0859,2.5412960609911055,0.28225066681720035,111.06563739256835
1015,incidenti_stradali,incidenti,2024,2,201,Bairo,787,7.0859,2.5412960609911055,0.28225066681720035,111.06563739256835
1016,incidenti_stradali,incidenti,2020,4,201,Balangero,3064,13.0063,1.3054830287206267,0.3075432674934455,235.57814289997924
1016,incidenti_stradali,incidenti,2021,2,201,Balangero,3064,13.0063,0.6527415143603134,0.15377163374672276,235.57814289997924
1016,incidenti_stradali,incidenti,2022,3,201,Balangero,3064,13.0063,0.9791122715404699,0.2306574506200841,235.57814289997924
1016,incidenti_stradali,incidenti,2023,4,201,Balangero,3064,13.0063,1.3054830287206267,0.3075432674934455,235.57814289997924
1016,incidenti_stradali,incidenti,2024,7,201,Balangero,3064,13.0063,2.284595300261097,0.5382007181135297,235.57814289997924
1017,incidenti_stradali,incidenti,2020,0,201,Baldissero Canavese,533,4.5064,0.0,0.0,118.27622936268418
1017,incidenti_stradali,incidenti,2021,3,201,Baldissero Canavese,533,4.5064,5.628517823639775,0.665719865080774,118.27622936268418
1017,incidenti_stradali,incidenti,2022,4,201,Baldissero Canavese,533,4.5064,7.5046904315197,0.8876264867743653,118.27622936268418
1017,incidenti_stradali,incidenti,2023,1,201,Baldissero Canavese,533,4.5064,1.876172607879925,0.22190662169359132,118.27622936268418
1017,incidenti_stradali,incidenti,2024,1,201,Baldissero Canavese,533,4.5064,1.876172607879925,0.22190662169359132,118.27622936268418
1018,incidenti_stradali,incidenti,2020,2,201,Baldissero Torinese,3671,15.4054,0.5448106782892945,0.12982460695600243,238.29306606774247
1018,incidenti_stradali,incidenti,2021,2,201,Baldissero Torinese,3671,15.4054,0.5448106782892945,0.12982460695600243,238.29306606774247
1018,incidenti_stradali,incidenti,2022,3,201,Baldissero Torinese,3671,15.4054,0.8172160174339417,0.19473691043400365,238.29306606774247
1018,incidenti_stradali,incidenti,2023,2,201,Baldissero Torinese,3671,15.4054,0.5448106782892945,0.12982460695600243,238.29306606774247
1018,incidenti_stradali,incidenti,2024,3,201,Baldissero Torinese,3671,15.4054,0.8172160174339417,0.19473691043400365,238.29306606774247
1019,incidenti_stradali,incidenti,2020,0,201,Balme,110,62.7105,0.0,0.0,1.754092217411757
1019,incidenti_stradali,incidenti,2021,0,201,Balme,110,62.7105,0.0,0.0,1.754092217411757
1019,incidenti_stradali,incidenti,2022,1,201,Balme,110,62.7105,9.09090909090909,0.015946292885561427,1.754092217411757
1019,incidenti_stradali,incidenti,2023,0,201,Balme,110,62.7105,0.0,0.0,1.754092217411757
1020,incidenti_stradali,incidenti,2020,0,201,Banchette,3112,2.0289,0.0,0.0,1533.8360688057567
1020,incidenti_stradali,incidenti,2021,3,201,Banchette,3112,2.0289,0.9640102827763496,1.478633742422002,1533.8360688057567
1020,incidenti_stradali,incidenti,2022,3,201,Banchette,3112,2.0289,0.9640102827763496,1.478633742422002,1533.8360688057567
1020,incidenti_stradali,incidenti,2023,1,201,Banchette,3112,2.0289,0.3213367609254498,0.49287791414066734,1533.8360688057567
1020,incidenti_stradali,incidenti,2024,1,201,Banchette,3112,2.0289,0.3213367609254498,0.49287791414066734,1533.8360688057567
1021,incidenti_stradali,incidenti,2020,0,201,Barbania,1585,12.8027,0.0,0.0,123.80201051340732
1021,incidenti_stradali,incidenti,2021,1,201,Barbania,1585,12.8027,0.6309148264984228,0.0781085239832223,123.80201051340732
1021,incidenti_stradali,incidenti,2022,2,201,Barbania,1585,12.8027,1.2618296529968456,0.1562170479664446,123.80201051340732
1021,incidenti_stradali,incidenti,2023,1,201,Barbania,1585,12.8027,0.6309148264984228,0.0781085239832223,123.80201051340732
1022,incidenti_stradali,incidenti,2020,3,201,Bardonecchia,3078,132.203,0.9746588693957114,0.02269237460571999,23.28237634546871
1022,incidenti_stradali,incidenti,2021,4,201,Bardonecchia,3078,132.203,1.299545159194282,0.030256499474293323,23.28237634546871
1022,incidenti_stradali,incidenti,2022,2,201,Bardonecchia,3078,132.203,0.649772579597141,0.015128249737146661,23.28237634546871
1022,incidenti_stradali,incidenti,2023,6,201,Bardonecchia,3078,132.203,1.949317738791423,0.04538474921143998,23.28237634546871
1022,incidenti_stradali,incidenti,2024,7,201,Bardonecchia,3078,132.203,2.2742040285899936,0.05294887408001331,23.28237634546871
1023,incidenti_stradali,incidenti,2020,0,201,Barone Canavese,559,3.9864,0.0,0.0,140.226771021473
1023,incidenti_stradali,incidenti,2021,0,201,Barone Canavese,559,3.9864,0.0,0.0,140.226771021473
1023,incidenti_stradali,incidenti,2022,0,201,Barone Canavese,559,3.9864,0.0,0.0,140.226771021473
1023,incidenti_stradali,incidenti,2023,1,201,Barone Canavese,559,3.9864,1.7889087656529516,0.25085289985952236,140.226771021473
1024,incidenti_stradali,incidenti,2020,22,201,Beinasco,17532,6.7343,1.2548482774355463,3.2668577283459306,2603.3886224254934
1024,incidenti_stradali,incidenti,2021,29,201,Beinasco,17532,6.7343,1.6541181838923111,4.306312460092363,2603.3886224254934
1024,incidenti_stradali,incidenti,2022,31,201,Beinasco,17532,6.7343,1.7681953000228154,4.603299526305629,2603.3886224254934
1024,incidenti_stradali,incidenti,2023,21,201,Beinasco,17532,6.7343,1.1978097193702941,3.1183641952392973,2603.3886224254934
1024,incidenti_stradali,incidenti,2024,33,201,Beinasco,17532,6.7343,1.8822724161533197,4.900286592518896,2603.3886224254934
1025,incidenti_stradali,incidenti,2020,0,201,Bibiana,3392,18.5979,0.0,0.0,182.38618338629632
1025,incidenti_stradali,incidenti,2021,4,201,Bibiana,3392,18.5979,1.1792452830188678,0.21507804644610415,182.38618338629632
1025,incidenti_stradali,incidenti,2022,2,201,Bibiana,3392,18.5979,0.5896226415094339,0.10753902322305207,182.38618338629632
1025,incidenti_stradali,incidenti,2023,2,201,Bibiana,3392,18.5979,0.5896226415094339,0.10753902322305207,182.38618338629632
1025,incidenti_stradali,incidenti,2024,1,201,Bibiana,3392,18.5979,0.29481132075471694,0.05376951161152604,182.38618338629632
1026,incidenti_stradali,incidenti,2020,0,201,Bobbio Pellice,537,94.0819,0.0,0.0,5.707792891087446
1026,incidenti_stradali,incidenti,2021,0,201,Bobbio Pellice,537,94.0819,0.0,0.0,5.707792891087446
1026,incidenti_stradali,incidenti,2022,0,201,Bobbio Pellice,537,94.0819,0.0,0.0,5.707792891087446
1026,incidenti_stradali,incidenti,2023,0,201,Bobbio Pellice,537,94.0819,0.0,0.0,5.707792891087446
1027,incidenti_stradali,incidenti,2020,5,201,Bollengo,2097,14.2234,2.384358607534573,0.35153338864125316,147.43310319614156
1027,incidenti_stradali,incidenti,2021,8,201,Bollengo,2097,14.2234,3.814973772055317,0.562453421826005,147.43310319614156
1027,incidenti_stradali,incidenti,2022,6,201,Bollengo,2097,14.2234,2.8612303290414878,0.4218400663695038,147.43310319614156
1027,incidenti_stradali,incidenti,2023,3,201,Bollengo,2097,14.2234,1.4306151645207439,0.2109200331847519,147.43310319614156
1027,incidenti_stradali,incidenti,2024,4,201,Bollengo,2097,14.2234,1.9074868860276586,0.2812267109130025,147.43310319614156
1028,incidenti_stradali,incidenti,2020,11,201,Borgaro Torinese,11773,11.1039,0.9343412893909794,0.9906429272597916,1060.2581075117753
1028,incidenti_stradali,incidenti,2021,22,201,Borgaro Torinese,11773,11.1039,1.8686825787819588,1.9812858545195833,1060.2581075117753
1028,incidenti_stradali,incidenti,2022,17,201,Borgaro Torinese,11773,11.1039,1.4439819926951498,1.5309936148560417,1060.2581075117753
1028,incidenti_stradali,incidenti,2023,11,201,Borgaro Torinese,11773,11.1039,0.9343412893909794,0.9906429272597916,1060.2581075117753
1028,incidenti_stradali,incidenti,2024,14,201,Borgaro Torinese,11773,11.1039,1.1891616410430645,1.2608182710579166,1060.2581075117753
1029,incidenti_stradali,incidenti,2020,0,201,Borgiallo,592,6.9648,0.0,0.0,84.99885136687341
1029,incidenti_stradali,incidenti,2021,0,201,Borgiallo,592,6.9648,0.0,0.0,84.99885136687341
1029,incidenti_stradali,incidenti,2022,0,201,Borgiallo,592,6.9648,0.0,0.0,84.99885136687341
1029,incidenti_stradali,incidenti,2023,0,201,Borgiallo,592,6.9648,0.0,0.0,84.99885136687341
1030,incidenti_stradali,incidenti,2020,6,201,Borgofranco d'Ivrea,3590,13.4189,1.671309192200557,0.44713053976108325,267.53310629038145
1030,incidenti_stradali,incidenti,2021,4,201,Borgofranco d'Ivrea,3590,13.4189,1.1142061281337048,0.29808702650738883,267.53310629038145
1030,incidenti_stradali,incidenti,2022,3,201,Borgofranco d'Ivrea,3590,13.4189,0.8356545961002785,0.22356526988054162,267.53310629038145
1030,incidenti_stradali,incidenti,2023,7,201,Borgofranco d'Ivrea,3590,13.4189,1.9498607242339832,0.5216522963879304,267.53310629038145
1030,incidenti_stradali,incidenti,2024,6,201,Borgofranco d'Ivrea,3590,13.4189,1.671309192200557,0.44713053976108325,267.53310629038145
1031,incidenti_stradali,incidenti,2020,0,201,Borgomasino,772,12.3712,0.0,0.0,62.403000517330575
1031,incidenti_stradali,incidenti,2021,0,201,Borgomasino,772,12.3712,0.0,0.0,62.403000517330575
1031,incidenti_stradali,incidenti,2022,0,201,Borgomasino,772,12.3712,0.0,0.0,62.403000517330575
1031,incidenti_stradali,incidenti,2023,0,201,Borgomasino,772,12.3712,0.0,0.0,62.403000517330575
1031,incidenti_stradali,incidenti,2024,1,201,Borgomasino,772,12.3712,1.2953367875647668,0.08083290222452147,62.403000517330575
1032,incidenti_stradali,incidenti,2020,3,201,Borgone Susa,2187,4.9617,1.371742112482853,0.6046314771146986,440.7763468166152
1032,incidenti_stradali,incidenti,2021,6,201,Borgone Susa,2187,4.9617,2.743484224965706,1.2092629542293971,440.7763468166152
1032,incidenti_stradali,incidenti,2022,6,201,Borgone Susa,2187,4.9617,2.743484224965706,1.2092629542293971,440.7763468166152
1032,incidenti_stradali,incidenti,2023,2,201,Borgone Susa,2187,4.9617,0.9144947416552355,0.403087651409799,440.7763468166152
1032,incidenti_stradali,incidenti,2024,3,201,Borgone Susa,2187,4.9617,1.371742112482853,0.6046314771146986,440.7763468166152
1033,incidenti_stradali,incidenti,2020,2,201,Bosconero,3074,10.919,0.6506180871828238,0.18316695668101474,281.5276124187196
1033,incidenti_stradali,incidenti,2021,3,201,Bosconero,3074,10.919,0.9759271307742355,0.27475043502152213,281.5276124187196
1033,incidenti_stradali,incidenti,2022,3,201,Bosconero,3074,10.919,0.9759271307742355,0.27475043502152213,281.5276124187196
1033,incidenti_stradali,incidenti,2023,1,201,Bosconero,3074,10.919,0.3253090435914119,0.09158347834050737,281.5276124187196
1033,incidenti_stradali,incidenti,2024,3,201,Bosconero,3074,10.919,0.9759271307742355,0.27475043502152213,281.5276124187196
1034,incidenti_stradali,incidenti,2020,3,201,Brandizzo,8798,6.2914,0.3409865878608775,0.476841402549512,1398.4168865435356
1034,incidenti_stradali,incidenti,2021,15,201,Brandizzo,8798,6.2914,1.7049329393043875,2.38420701274756,1398.4168865435356
1034,incidenti_stradali,incidenti,2022,9,201,Brandizzo,8798,6.2914,1.0229597635826324,1.430524207648536,1398.4168865435356
1034,incidenti_stradali,incidenti,2023,7,201,Brandizzo,8798,6.2914,0.7956353716753808,1.1126299392821948,1398.4168865435356
1034,incidenti_stradali,incidenti,2024,5,201,Brandizzo,8798,6.2914,0.568310979768129,0.7947356709158534,1398.4168865435356
1035,incidenti_stradali,incidenti,2020,3,201,Bricherasio,4564,22.7585,0.6573181419807187,0.13181888085770152,200.54045741151657
1035,incidenti_stradali,incidenti,2021,7,201,Bricherasio,4564,22.7585,1.5337423312883436,0.3075773886679702,200.54045741151657
1035,incidenti_stradali,incidenti,2022,6,201,Bricherasio,4564,22.7585,1.3146362839614374,0.26363776171540304,200.54045741151657
1035,incidenti_stradali,incidenti,2023,8,201,Bricherasio,4564,22.7585,1.7528483786152498,0.35151701562053733,200.54045741151657
1035,incidenti_stradali,incidenti,2024,6,201,Bricherasio,4564,22.7585,1.3146362839614374,0.26363776171540304,200.54045741151657
1036,incidenti_stradali,incidenti,2020,0,201,Brosso,402,11.135,0.0,0.0,36.10237988325101
