FREQ,REF_AREA,DATA_TYPE,RESULT,TIME_PERIOD,OBS_VALUE
A,1001,KILLINJ,F,2001,10
A,1001,KILLINJ,F,2002,10
A,1001,KILLINJ,F,2003,7
A,1001,KILLINJ,F,2004,13
A,1001,KILLINJ,F,2005,2
A,1001,KILLINJ,F,2006,1
A,1001,KILLINJ,F,2007,12
A,1001,KILLINJ,F,2008,10
A,1001,KILLINJ,F,2009,7
A,1001,KILLINJ,F,2010,14
A,1001,KILLINJ,F,2011,6
A,1001,KILLINJ,F,2012,8
A,1001,KILLINJ,F,2013,5
A,1001,KILLINJ,F,2014,11
A,1001,KILLINJ,F,2015,9
A,1001,KILLINJ,F,2016,8
A,1001,KILLINJ,F,2017,0
A,1001,KILLINJ,F,2018,1
A,1001,KILLINJ,F,2019,5
A,1001,KILLINJ,F,2020,4
A,1001,KILLINJ,F,2021,2
A,1001,KILLINJ,F,2022,5
A,1001,KILLINJ,F,2023,6
A,1001,KILLINJ,F,2024,5
A,1001,KILLINJ,M,2001,0
A,1001,KILLINJ,M,2002,0
A,1001,KILLINJ,M,2003,0
A,1001,KILLINJ,M,2004,0
A,1001,KILLINJ,M,2005,0
A,1001,KILLINJ,M,2006,0
A,1001,KILLINJ,M,2007,0
A,1001,KILLINJ,M,2008,0
A,1001,KILLINJ,M,2009,0
A,1001,KILLINJ,M,2010,0
A,1001,KILLINJ,M,2011,0
A,1001,KILLINJ,M,2012,0
A,1001,KILLINJ,M,2013,0
A,1001,KILLINJ,M,2014,0
A,1001,KILLINJ,M,2015,0
A,1001,KILLINJ,M,2016,0
A,1001,KILLINJ,M,2017,0
A,1001,KILLINJ,M,2018,0
A,1001,KILLINJ,M,2019,0
A,1001,KILLINJ,M,2020,0
A,1001,KILLINJ,M,2021,0
A,1001,KILLINJ,M,2022,0
A,1001,KILLINJ,M,2023,1
A,1001,KILLINJ,M,2024,0
A,1001,ROADACC,9,2001,5
A,1001,ROADACC,9,2002,5
A,1001,ROADACC,9,2003,4
A,1001,ROADACC,9,2004,9
A,1001,ROADACC,9,2005,2
A,1001,ROADACC,9,2006,1
A,1001,ROADACC,9,2007,8
A,1001,ROADACC,9,2008,5
A,1001,ROADACC,9,2009,4
A,1001,ROADACC,9,2010,7
A,1001,ROADACC,9,2011,4
A,1001,ROADACC,9,2012,3
A,1001,ROADACC,9,2013,4
A,1001,ROADACC,9,2014,6
