Codice Provincia/Uts,Codice Comune (numerico),Comune,Popolazione residente,Superficie (Kmq),Anno (Popolazione residente)
201,1001,Agliè,2545,13.1462,2020
201,1002,Airasca,3633,15.7393,2020
201,1003,Ala di Stura,459,46.3315,2020
201,1004,Albiano d'Ivrea,1638,11.7314,2020
201,1006,Almese,6355,17.8756,2020
201,1007,Alpette,235,5.6261,2020
201,1008,Alpignano,16484,11.9193,2020
201,1009,Andezeno,2013,7.486,2020
201,1010,Andrate,488,9.3085,2020
201,1011,Angrogna,838,38.8782,2020
201,1012,Arignano,1080,8.1668,2020
201,1013,Avigliana,12351,23.2172,2020
201,1014,Azeglio,1235,9.9605,2020
201,1015,Bairo,787,7.0859,2020
201,1016,Balangero,3064,13.0063,2020
201,1017,Baldissero Canavese,533,4.5064,2020
201,1018,Baldissero Torinese,3671,15.4054,2020
201,1019,Balme,110,62.7105,2020
201,1020,Banchette,3112,2.0289,2020
201,1021,Barbania,1585,12.8027,2020
201,1022,Bardonecchia,3078,132.203,2020
201,1023,Barone Canavese,559,3.9864,2020
201,1024,Beinasco,17532,6.7343,2020
201,1025,Bibiana,3392,18.5979,2020
201,1026,Bobbio Pellice,537,94.0819,2020
201,1027,Bollengo,2097,14.2234,2020
201,1028,Borgaro Torinese,11773,11.1039,2020
201,1029,Borgiallo,592,6.9648,2020
201,1030,Borgofranco d'Ivrea,3590,13.4189,2020
201,1031,Borgomasino,772,12.3712,2020
201,1032,Borgone Susa,2187,4.9617,2020
201,1033,Bosconero,3074,10.919,2020
201,1034,Brandizzo,8798,6.2914,2020
201,1035,Bricherasio,4564,22.7585,2020
201,1036,Brosso,402,11.135,2020
201,1037,Brozolo,449,8.9504,2020
201,1038,Bruino,8475,5.5701,2020
201,1039,Brusasco,1482,14.3592,2020
201,1040,Bruzolo,1487,12.5598,2020
201,1041,Buriasco,1329,14.6868,2020
201,1042,Burolo,1134,5.476,2020
201,1043,Busano,1622,5.0591,2020
201,1044,Bussoleno,5703,37.0661,2020
201,1045,Buttigliera Alta,6292,8.0973,2020
201,1046,Cafasse,3334,10.2312,2020
201,1047,Caluso,7344,39.4925,2020
201,1048,Cambiano,5915,14.1314,2020
201,1049,Campiglione Fenile,1333,11.0863,2020
201,1050,Candia Canavese,1219,9.1318,2020
201,1051,Candiolo,5627,11.8499,2020
201,1052,Canischio,277,11.9505,2020
201,1053,Cantalupa,2574,11.1953,2020
201,1054,Cantoira,588,23.0319,2020
201,1055,Caprie,2057,16.4078,2020
201,1056,Caravino,901,11.5371,2020
201,1057,Carema,739,10.2579,2020
201,1058,Carignano,9051,50.679,2020
201,1059,Carmagnola,28399,95.7148,2020
201,1060,Casalborgone,1862,20.125,2020
201,1061,Cascinette d'Ivrea,1532,2.1726,2020
201,1062,Caselette,3005,14.3136,2020
201,1063,Caselle Torinese,13749,23.5513,2020
201,1064,Castagneto Po,1755,11.4732,2020
201,1065,Castagnole Piemonte,2165,17.2796,2020
201,1066,Castellamonte,9667,38.7063,2020
201,1067,Castelnuovo Nigra,416,28.3756,2020
201,1068,Castiglione Torinese,6446,14.1345,2020
201,1069,Cavagnolo,2237,12.3285,2020
201,1070,Cavour,5385,48.9591,2020
201,1071,Cercenasco,1761,13.1595,2020
201,1072,Ceres,1032,28.0516,2020
201,1073,Ceresole Reale,167,99.8147,2020
201,1074,Cesana Torinese,913,121.7001,2020
201,1075,Chialamberto,353,35.4478,2020
201,1076,Chianocco,1569,18.6134,2020
201,1077,Chiaverano,2021,12.0221,2020
201,1078,Chieri,36001,54.1975,2020
201,1079,Chiesanuova,233,4.1189,2020
201,1080,Chiomonte,860,26.7549,2020
201,1081,Chiusa di San Michele,1565,5.9165,2020
201,1082,Chivasso,26497,51.2378,2020
201,1083,Ciconio,360,3.1638,2020
201,1084,Cintano,242,4.9345,2020
201,1085,Cinzano,321,6.1962,2020
201,1086,Ciriè,18261,17.7329,2020
201,1087,Claviere,202,2.6872,2020
201,1088,Coassolo Torinese,1449,27.8788,2020
201,1089,Coazze,3171,56.5727,2020
201,1090,Collegno,48747,18.0993,2020
201,1091,Colleretto Castelnuovo,312,6.3321,2020
201,1092,Colleretto Giacosa,591,4.5894,2020
201,1093,Condove,4427,71.1131,2020
201,1094,Corio,3082,41.4914,2020
201,1095,Cossano Canavese,443,3.2384,2020
201,1096,Cuceglio,937,6.8709,2020
201,1097,Cumiana,7787,60.7335,2020
201,1098,Cuorgnè,9413,19.3134,2020
201,1099,Druento,8822,27.5395,2020
201,1100,Exilles,244,46.5474,2020
201,1101,Favria,5122,14.8499,2020
201,1102,Feletto,2178,7.8931,2020
201,1103,Fenestrelle,483,49.4091,2020
201,1104,Fiano,2640,12.0415,2020
201,1105,Fiorano Canavese,751,4.3457,2020
201,1106,Foglizzo,2255,15.6427,2020
201,1107,Forno Canavese,3271,16.5003,2020
201,1108,Frassinetto,274,24.8185,2020
201,1109,Front,1627,10.9482,2020
201,1110,Frossasco,2841,20.1488,2020
201,1111,Garzigliana,544,7.4018,2020
201,1112,Gassino Torinese,9389,20.5108,2020
201,1113,Germagnano,1117,14.4442,2020
201,1114,Giaglione,594,33.3833,2020
201,1115,Giaveno,16168,71.7376,2020
201,1116,Givoletto,4003,12.8199,2020
201,1117,Gravere,665,18.987,2020
201,1118,Groscavallo,194,92.0935,2020
201,1119,Grosso,973,4.3296,2020
201,1120,Grugliasco,37201,13.1321,2020
201,1121,Ingria,45,14.7506,2020
201,1122,Inverso Pinasca,689,8.0292,2020
201,1123,Isolabella,371,4.7716,2020
201,1124,Issiglio,409,5.5042,2020
201,1125,Ivrea,22839,30.1075,2020
201,1126,La Cassa,1766,12.0353,2020
201,1127,La Loggia,8783,12.7929,2020
201,1128,Lanzo Torinese,4878,10.2876,2020
201,1129,Lauriano,1422,14.29,2020
201,1130,Leini,16309,31.9191,2020
201,1131,Lemie,185,45.6753,2020
201,1132,Lessolo,1795,7.9366,2020
201,1133,Levone,429,5.3912,2020
201,1134,Locana,1382,132.5173,2020
201,1135,Lombardore,1669,12.7158,2020
201,1136,Lombriasco,1066,7.2096,2020
201,1137,Loranzè,1149,4.1914,2020
201,1139,Luserna San Giovanni,7096,17.7414,2020
201,1140,Lusernetta,492,7.0398,2020
201,1141,Lusigliè,547,5.2585,2020
201,1142,Macello,1151,14.1404,2020
201,1143,Maglione,413,6.3129,2020
201,1144,Marentino,1306,11.2593,2020
201,1145,Massello,56,38.2587,2020
201,1146,Mathi,3795,7.0706,2020
201,1147,Mattie,647,28.6942,2020
201,1148,Mazzè,4169,27.3424,2020
201,1149,Meana di Susa,809,16.5439,2020
201,1150,Mercenasco,1283,12.6383,2020
201,1152,Mezzenile,760,29.0871,2020
201,1153,Mombello di Torino,383,4.0825,2020
201,1154,Mompantero,639,30.3332,2020
201,1155,Monastero di Lanzo,331,17.6554,2020
201,1156,Moncalieri,56319,47.5288,2020
201,1157,Moncenisio,41,4.5007,2020
201,1158,Montaldo Torinese,723,4.6567,2020
201,1159,Montalenghe,985,6.4681,2020
201,1160,Montalto Dora,3349,7.3567,2020
201,1161,Montanaro,5119,20.9036,2020
201,1162,Monteu da Po,842,7.3896,2020
201,1163,Moriondo Torinese,852,6.4895,2020
201,1164,Nichelino,46512,20.5627,2020
201,1165,Noasca,107,78.0481,2020
201,1166,Nole,6770,11.353,2020
201,1167,Nomaglio,291,3.0743,2020
201,1168,None.,7849,24.6422,2020
201,1169,Novalesa,526,28.5542,2020
201,1170,Oglianico,1453,6.303,2020
201,1171,Orbassano,23061,22.2078,2020
201,1172,Orio Canavese,764,7.1541,2020
201,1173,Osasco,1173,5.4885,2020
201,1174,Osasio,929,4.5771,2020
201,1175,Oulx,3264,99.7857,2020
201,1176,Ozegna,1187,5.4058,2020
201,1177,Palazzo Canavese,842,5.0819,2020
201,1178,Pancalieri,2005,15.8878,2020
201,1179,Parella,419,2.6886,2020
201,1180,Pavarolo,1124,4.4056,2020
201,1181,Pavone Canavese,3680,11.54,2020
201,1183,Pecetto Torinese,3992,9.173,2020
201,1184,Perosa Argentina,3133,26.0906,2020
201,1185,Perosa Canavese,521,4.708,2020
