FREQ,REF_AREA,DATA_TYPE,RESULT,TIME_PERIOD,OBS_VALUE,Codice Provincia/Uts,Codice Comune (numerico),Comune,Popolazione residente,Superficie (Kmq),Anno (Popolazione residente),_merge
A,1001,KILLINJ,F,2020,4,201.0,1001.0,Agliè,2545.0,13.1462,2020.0,both
A,1001,KILLINJ,F,2021,2,201.0,1001.0,Agliè,2545.0,13.1462,2020.0,both
A,1001,KILLINJ,F,2022,5,201.0,1001.0,Agliè,2545.0,13.1462,2020.0,both
A,1001,KILLINJ,F,2023,6,201.0,1001.0,Agliè,2545.0,13.1462,2020.0,both
A,1001,KILLINJ,F,2024,5,201.0,1001.0,Agliè,2545.0,13.1462,2020.0,both
A,1001,KILLINJ,M,2020,0,201.0,1001.0,Agliè,2545.0,13.1462,2020.0,both
A,1001,KILLINJ,M,2021,0,201.0,1001.0,Agliè,2545.0,13.1462,2020.0,both
A,1001,KILLINJ,M,2022,0,201.0,1001.0,Agliè,2545.0,13.1462,2020.0,both
A,1001,KILLINJ,M,2023,1,201.0,1001.0,Agliè,2545.0,13.1462,2020.0,both
A,1001,KILLINJ,M,2024,0,201.0,1001.0,Agliè,2545.0,13.1462,2020.0,both
A,1001,ROADACC,9,2020,4,201.0,1001.0,Agliè,2545.0,13.1462,2020.0,both
A,1001,ROADACC,9,2021,2,201.0,1001.0,Agliè,2545.0,13.1462,2020.0,both
A,1001,ROADACC,9,2022,3,201.0,1001.0,Agliè,2545.0,13.1462,2020.0,both
A,1001,ROADACC,9,2023,3,201.0,1001.0,Agliè,2545.0,13.1462,2020.0,both
A,1001,ROADACC,9,2024,2,201.0,1001.0,Agliè,2545.0,13.1462,2020.0,both
A,1002,KILLINJ,F,2020,14,201.0,1002.0,Airasca,3633.0,15.7393,2020.0,both
A,1002,KILLINJ,F,2021,9,201.0,1002.0,Airasca,3633.0,15.7393,2020.0,both
A,1002,KILLINJ,F,2022,5,201.0,1002.0,Airasca,3633.0,15.7393,2020.0,both
A,1002,KILLINJ,F,2023,10,201.0,1002.0,Airasca,3633.0,15.7393,2020.0,both
A,1002,KILLINJ,F,2024,9,201.0,1002.0,Airasca,3633.0,15.7393,2020.0,both
A,1002,KILLINJ,M,2020,0,201.0,1002.0,Airasca,3633.0,15.7393,2020.0,both
A,1002,KILLINJ,M,2021,0,201.0,1002.0,Airasca,3633.0,15.7393,2020.0,both
A,1002,KILLINJ,M,2022,0,201.0,1002.0,Airasca,3633.0,15.7393,2020.0,both
A,1002,KILLINJ,M,2023,1,201.0,1002.0,Airasca,3633.0,15.7393,2020.0,both
A,1002,KILLINJ,M,2024,0,201.0,1002.0,Airasca,3633.0,15.7393,2020.0,both
A,1002,ROADACC,9,2020,8,201.0,1002.0,Airasca,3633.0,15.7393,2020.0,both
A,1002,ROADACC,9,2021,6,201.0,1002.0,Airasca,3633.0,15.7393,2020.0,both
A,1002,ROADACC,9,2022,4,201.0,1002.0,Airasca,3633.0,15.7393,2020.0,both
A,1002,ROADACC,9,2023,7,201.0,1002.0,Airasca,3633.0,15.7393,2020.0,both
A,1002,ROADACC,9,2024,5,201.0,1002.0,Airasca,3633.0,15.7393,2020.0,both
A,1003,KILLINJ,F,2020,0,201.0,1003.0,Ala di Stura,459.0,46.3315,2020.0,both
A,1003,KILLINJ,F,2021,0,201.0,1003.0,Ala di Stura,459.0,46.3315,2020.0,both
A,1003,KILLINJ,F,2022,0,201.0,1003.0,Ala di Stura,459.0,46.3315,2020.0,both
A,1003,KILLINJ,F,2023,1,201.0,1003.0,Ala di Stura,459.0,46.3315,2020.0,both
A,1003,KILLINJ,F,2024,2,201.0,1003.0,Ala di Stura,459.0,46.3315,2020.0,both
A,1003,KILLINJ,M,2020,0,201.0,1003.0,Ala di Stura,459.0,46.3315,2020.0,both
A,1003,KILLINJ,M,2021,0,201.0,1003.0,Ala di Stura,459.0,46.3315,2020.0,both
A,1003,KILLINJ,M,2022,0,201.0,1003.0,Ala di Stura,459.0,46.3315,2020.0,both
A,1003,KILLINJ,M,2023,0,201.0,1003.0,Ala di Stura,459.0,46.3315,2020.0,both
A,1003,KILLINJ,M,2024,0,201.0,1003.0,Ala di Stura,459.0,46.3315,2020.0,both
A,1003,ROADACC,9,2020,0,201.0,1003.0,Ala di Stura,459.0,46.3315,2020.0,both
A,1003,ROADACC,9,2021,0,201.0,1003.0,Ala di Stura,459.0,46.3315,2020.0,both
A,1003,ROADACC,9,2022,0,201.0,1003.0,Ala di Stura,459.0,46.3315,2020.0,both
A,1003,ROADACC,9,2023,1,201.0,1003.0,Ala di Stura,459.0,46.3315,2020.0,both
A,1003,ROADACC,9,2024,1,201.0,1003.0,Ala di Stura,459.0,46.3315,2020.0,both
A,1004,KILLINJ,F,2020,3,201.0,1004.0,Albiano d'Ivrea,1638.0,11.7314,2020.0,both
A,1004,KILLINJ,F,2021,2,201.0,1004.0,Albiano d'Ivrea,1638.0,11.7314,2020.0,both
A,1004,KILLINJ,F,2022,4,201.0,1004.0,Albiano d'Ivrea,1638.0,11.7314,2020.0,both
A,1004,KILLINJ,F,2023,4,201.0,1004.0,Albiano d'Ivrea,1638.0,11.7314,2020.0,both
A,1004,KILLINJ,F,2024,9,201.0,1004.0,Albiano d'Ivrea,1638.0,11.7314,2020.0,both
A,1004,KILLINJ,M,2020,0,201.0,1004.0,Albiano d'Ivrea,1638.0,11.7314,2020.0,both
A,1004,KILLINJ,M,2021,0,201.0,1004.0,Albiano d'Ivrea,1638.0,11.7314,2020.0,both
A,1004,KILLINJ,M,2022,0,201.0,1004.0,Albiano d'Ivrea,1638.0,11.7314,2020.0,both
A,1004,KILLINJ,M,2023,0,201.0,1004.0,Albiano d'Ivrea,1638.0,11.7314,2020.0,both
A,1004,KILLINJ,M,2024,0,201.0,1004.0,Albiano d'Ivrea,1638.0,11.7314,2020.0,both
A,1004,ROADACC,9,2020,3,201.0,1004.0,Albiano d'Ivrea,1638.0,11.7314,2020.0,both
A,1004,ROADACC,9,2021,2,201.0,1004.0,Albiano d'Ivrea,1638.0,11.7314,2020.0,both
A,1004,ROADACC,9,2022,4,201.0,1004.0,Albiano d'Ivrea,1638.0,11.7314,2020.0,both
A,1004,ROADACC,9,2023,2,201.0,1004.0,Albiano d'Ivrea,1638.0,11.7314,2020.0,both
A,1004,ROADACC,9,2024,4,201.0,1004.0,Albiano d'Ivrea,1638.0,11.7314,2020.0,both
A,1006,KILLINJ,F,2020,8,201.0,1006.0,Almese,6355.0,17.8756,2020.0,both
A,1006,KILLINJ,F,2021,4,201.0,1006.0,Almese,6355.0,17.8756,2020.0,both
A,1006,KILLINJ,F,2022,8,201.0,1006.0,Almese,6355.0,17.8756,2020.0,both
A,1006,KILLINJ,F,2023,4,201.0,1006.0,Almese,6355.0,17.8756,2020.0,both
A,1006,KILLINJ,F,2024,2,201.0,1006.0,Almese,6355.0,17.8756,2020.0,both
A,1006,KILLINJ,M,2020,0,201.0,1006.0,Almese,6355.0,17.8756,2020.0,both
A,1006,KILLINJ,M,2021,0,201.0,1006.0,Almese,6355.0,17.8756,2020.0,both
